mtime,stream_id,A,B,C,D,E,F,G,H,I,J
2021-10-01T00:00,A,261,259,440,33,235,497,405,136,703,9880
2021-10-01T00:00,B,7,12,1,4,0,28,4,0,10,12
2021-10-01T00:00,C,82,44,39,10,29,69,39,13,40,82
2021-10-01T00:00,D,3,0,0,4,0,0,6,0,0,2
2021-10-01T00:00,E,116,120,19,34,17,441,34,10,118,73
2021-10-01T00:00,F,82,24,12,5,8,48,7,4,39,36
2021-10-01T00:00,G,13,16,1,7,0,19,3,0,24,19
2021-10-01T00:00,H,54,76,29,12,21,110,30,12,94,136
2021-10-01T00:00,I,32,33,2,7,11,42,15,11,49,83
2021-10-01T00:00,J,2,0,0,2,2,1,1,0,4,1
2021-10-01T00:00,K,23,951,0,11,8,39,0,0,0,2
2021-10-01T00:00,L,16,47,59,74,41,42,38,10,55,94
2021-10-01T00:00,M,6,3,4,13,0,2,12,2,73,98
2021-10-01T00:00,N,27,5,1,33,1,28,16,0,53,26
2021-10-01T00:00,O,14,57,19,13,7,48,12,6,32,42
2021-10-01T00:00,P,32,24,32,8,18,61,36,6,56,107
2021-10-01T00:00,Q,30,108,7,8,6,101,15,2,63,57
2021-10-01T00:00,R,15,14,19,16,5,33,6,2,56,46
2021-10-01T00:00,S,29,95,3,50,2,128,13,4,33,29
2021-10-01T00:00,T,125,215,69,18,42,309,76,27,198,329
2021-10-01T00:00,U,56,29,13,18,4,49,7,8,57,39
2021-10-01T00:00,V,33,16,10,34,7,42,22,2,21,43
2021-10-01T00:00,W,98,60,60,18,47,115,79,20,128,230
2021-10-01T00:00,X,12,46,27,9,6,52,9,4,34,89
2021-10-01T00:00,Y,14,37,10,4,0,45,8,0,19,17
2021-10-01T00:00,Z,9,15,0,8,0,5,4,0,8,10
2021-10-01T00:00,a,31,73,75,9,46,141,28,30,45,100
2021-10-01T00:00,b,35,65,2,7,14,124,13,11,34,64
2021-10-01T00:00,c,22,36,18,40,18,46,5,0,60,150
2021-10-01T00:00,d,6,16,0,8,0,6,0,0,3,10
2021-10-01T00:00,e,26,37,18,4,13,53,11,8,37,70
2021-10-01T00:00,f,61,9,4,10,0,36,2,0,41,7
2021-10-01T00:00,g,143,39,28,10,20,113,58,8,78,106
2021-10-01T00:00,h,13,20,0,7,0,21,3,0,15,24
2021-10-01T00:00,i,35,14,8,22,7,28,16,2,53,231
2021-10-01T00:00,j,14,18,26,4,24,20,25,5,30,70
2021-10-01T00:00,k,41,21,7,9,1,45,8,2,58,23
2021-10-01T00:00,l,14,3,0,6,0,1,8,1,9,9
2021-10-01T00:00,m,9,17,5,3,11,116,3,1,21,17
2021-10-01T00:00,n,25,4,2,30,6,26,29,9,25,62
2021-10-01T00:00,o,27,7,21,4,5,18,24,0,37,69
2021-10-01T00:00,p,35,21,8,6,6,45,13,3,20,27
2021-10-01T00:00,q,40,51,14,64,11,293,10,6,95,48
2021-10-01T00:00,r,9,2,0,4,1,7,2,0,9,6
